mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11233634948730468,0.004114719348517173,0.0073070526123046875,0.003313558076566019,7,1.0,0.8,0.03,"{'max_depth': 7, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.8953068592057761,0.9097472924187726,0.9239130434782609,0.9166666666666666,0.9021739130434783,0.9095615549625908,0.010141557450311197,54
0.10142221450805664,0.00870366020802543,0.0067271232604980465,0.007841849404757503,7,0.8,0.7,0.03,"{'max_depth': 7, 'max_features': 0.8, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.9025270758122743,0.9061371841155235,0.9021739130434783,0.9384057971014492,0.8985507246376812,0.9095589389420813,0.01462201162994162,55
0.10483150482177735,0.0033647168127294838,0.0033298015594482424,0.0018347807898020446,10,0.9,0.8,0.03,"{'max_depth': 10, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.9061371841155235,0.9169675090252708,0.9130434782608695,0.9202898550724637,0.8913043478260869,0.9095484748600431,0.010267613562646017,56
0.10837254524230958,0.012282186612935774,0.007122230529785156,0.007214250923172684,7,0.8,0.8,0.03,"{'max_depth': 7, 'max_features': 0.8, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.9061371841155235,0.9169675090252708,0.9021739130434783,0.927536231884058,0.8913043478260869,0.9088238371788837,0.012448656229618863,57
0.10909628868103027,0.00847863840591488,0.004533576965332031,0.004307065018915909,7,0.9,0.7,0.03,"{'max_depth': 7, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.8989169675090253,0.9097472924187726,0.9202898550724637,0.9130434782608695,0.8985507246376812,0.9081096635797625,0.00838165132975744,58
0.09821009635925293,0.004809890105748866,0.005683135986328125,0.0038924847376586294,10,0.8,0.7,0.03,"{'max_depth': 10, 'max_features': 0.8, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.9061371841155235,0.9025270758122743,0.8985507246376812,0.9384057971014492,0.8840579710144928,0.9059357505362842,0.01788373231253525,59
0.1143460750579834,0.012473838709586585,0.004986190795898437,0.0028227765663466253,10,0.9,0.7,0.03,"{'max_depth': 10, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.9097472924187726,0.9061371841155235,0.9094202898550725,0.9130434782608695,0.8876811594202898,0.9052058808141055,0.009031021896055895,60
0.10257987976074219,0.004617454357002118,0.007429313659667969,0.004661016296433093,10,0.7,0.7,0.03,"{'max_depth': 10, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.9061371841155235,0.9169675090252708,0.8913043478260869,0.9166666666666666,0.894927536231884,0.9052006487730864,0.010671922847095184,61
0.10905666351318359,0.010128907356857605,0.007855844497680665,0.005845265359546134,10,1.0,0.7,0.03,"{'max_depth': 10, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.8953068592057761,0.9061371841155235,0.9057971014492754,0.9130434782608695,0.8985507246376812,0.9037670695338251,0.006238199170428357,62
0.09785079956054688,0.005218974590948719,0.006524991989135742,0.006246958899384069,7,0.7,0.7,0.03,"{'max_depth': 7, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.9025270758122743,0.8989169675090253,0.8913043478260869,0.927536231884058,0.8913043478260869,0.9023177941715061,0.013342945868601254,63
0.11734256744384766,0.008064514641008718,0.0026653289794921877,0.0023542389204825142,7,1.0,0.7,0.03,"{'max_depth': 7, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.8953068592057761,0.8916967509025271,0.9094202898550725,0.9094202898550725,0.8876811594202898,0.8987050698477477,0.009075492832111207,64
0.09864768981933594,0.002935530970325699,0.006425189971923828,0.007879868336570468,5,0.7,0.7,0.01,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.855595667870036,0.9061371841155235,0.8913043478260869,0.9021739130434783,0.894927536231884,0.8900277298174017,0.017990269765244905,65
0.10385546684265137,0.006678604508672228,0.003030681610107422,0.0026965428476465507,5,0.7,0.9,0.01,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.8700361010830325,0.8953068592057761,0.8876811594202898,0.9166666666666666,0.8768115942028986,0.8893004761157327,0.016215397167431714,66
0.10267038345336914,0.004012327918112095,0.008443880081176757,0.006552998150390629,5,0.7,1.0,0.03,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_split': 0.03}",0.8700361010830325,0.9061371841155235,0.8804347826086957,0.894927536231884,0.8804347826086957,0.8863940773295662,0.012658751600547422,67
